name,horse_id,father,father_id,mother,mother_id,grand_father_1,grand_father_1_id,grand_father_2,grand_father_2_id,grand_mother_1,grand_mother_1_id,grand_mother_2,grand_mother_2_id
ミュージアムピース,2019104143,ディスクリートキャットDiscreetCat(米),000a0113a1,コウギョウマシェリ,2013103162,Forestry,000a002270,アサクサデンエン,1999110191,PrettyDiscreet,000a0113bb,ビューティソング,1997100572
アンスリウム,2020102636,リアルスティール,2012104889,エクストラペトル,2012104080,ディープインパクト,2002100816,キングカメハメハ,2001103460,ラヴズオンリーミーLovesOnlyMe(米),000a01179f,ライラックレーンLilacLane(米),000a00fed6
ゲキザル,2019102102,ザファクター,000a0130d0,トゥモローズライト,2006105267,WarFront,000a011d00,アフリートAfleet(加),000a000013,Greyciousness,000a0130e4,オースミサツキ,1993109514
サトノガレオン,2020101567,ロードカナロア,2008103552,スウィーティーガールSweetieGirl(亜),000a013e15,キングカメハメハ,2001103460,StarDabbler,000a013be8,レディブラッサム,1996107173,Santiaga,000a013ceb
スノーホルンロード,2019106520,ロードカナロア,2008103552,ホワイトエレガンス,2012103409,キングカメハメハ,2001103460,クロフネ,1998110135,レディブラッサム,1996107173,レディベローナ,1996107180
トルーマンテソーロ,2019102082,トーセンジョーダン,2006103169,マキアージュシチー,2010100936,ジャングルポケット,1998101786,ダイワメジャー,2001103114,エヴリウィスパー,1997103621,スウィーピングズSweepings(米),000a006700
シャーンゴッセ,2020106930,イスラボニータ,2011103565,ルーシーブライド,2010104689,フジキセキ,1992109618,ブライアンズタイムBrian'sTime(米),000a000082,イスラコジーンIslaCozzene(米),000a011566,フューチャハッピー,1997100411
ヨロ,2020106982,ディスクリートキャットDiscreetCat(米),000a0113a1,ムサ,2012104460,Forestry,000a002270,フレンチデピュティFrenchDeputy(米),000a00013a,PrettyDiscreet,000a0113bb,ラブリープリンセス,2001102533
アポロリヤム,2019101263,キンシャサノキセキ,2003110212,アポロジャスミン,2007110117,フジキセキ,1992109618,SaintLiam,000a010610,ケルトシャーンKeltshaan(米),000a006843,Bernstein'sBabe,000a0115dd
キーチズカンパニー,2019101100,リオンディーズ,2013105915,クナウ,2013101099,キングカメハメハ,2001103460,シンボリクリスエス,1999110099,シーザリオ,2002100844,フラワーブリーズ,1992105409
グッドロマンス,2020104664,コパノリッキー,2010106548,テツナゴオ,2010103891,ゴールドアリュール,1999106689,ハーツクライ,2001103038,コパノニキータ,2001107110,フライトオブエンジェルスFlightofAngels(米),000a000129
ブリングライト,2020100617,バトルプランBattlePlan(米),000a0118e8,ティンタジェル,2009105638,エンパイアメーカーEmpireMaker(米),000a010542,キングカメハメハ,2001103460,Flanders,000a01149d,メジロシェダー,2004102968
キイロノトマト,2020106156,インカンテーション,2010104916,カゼニモマケズ,2012105006,シニスターミニスターSinisterMinister(米),000a011099,パイロPyro(米),000a01176a,オリジナルスピンOriginalSpin(愛),000a01062c,ミココロ,2001104978
オリビアジュテーム,2020100714,トビーズコーナーToby'sCorner(米),000a011fed,カネトシジュテーム,2014103799,BellamyRoad,000a011cf9,キングズベストKing'sBest(米),000a0022d2,Brandon'sRide,000a011f6e,カネトシディザイア,1999106882
ラヴァグロウ,2020103937,ホッコータルマエ,2009100921,ブロンズテーラー,2011101737,キングカメハメハ,2001103460,ロージズインメイRosesinMay(米),000a010a10,マダムチェロキー,2001105650,キョウエイトルース,1997106004
